 6 , 30,40 ,205 ,2.8 ,2.726
 6 , 40,50 ,214 ,1.0 ,2.709
 6 , 50,60 ,206 ,1.0 ,2.699
 6 , 60,70 ,218 ,1.0 ,2.691
 6 , 70,270 ,169 ,1.0 ,2.686
 6 ,270,280 ,194 ,1.0 ,2.680
 6 ,280,300 ,194 ,1.0 ,2.673
 6 ,300,320 ,198 ,1.0 ,2.667
 6 , 30,350 ,215 ,2.6 ,2.722
 6 ,350,80 ,189 ,1.0 ,2.709
 6 ,350,90 ,203 ,1.0 ,2.708
 6 ,350,100 ,170 ,1.0 ,2.710
 6 , 40,130 ,185 ,1.0 ,2.710
 6 , 50,190 ,213 ,1.0 ,2.698
 6 ,190,200 , 1 ,1.0 ,2.667
 6 ,190,210 ,220 ,1.0 ,2.689
 6 ,210,220 ,192 ,1.0 ,2.683
 6 ,210,230 ,207 ,1.0 ,2.682
 6 ,230,240 ,181 ,1.0 ,2.676
 6 ,230,250 ,210 ,1.0 ,2.675
 6 , 20,330 ,199 ,2.8 ,2.726
 6 ,330,110 ,218 ,1.0 ,2.720
 6 ,330,120 ,191 ,2.6 ,2.722
 6 , 50,340 ,188 ,1.0 ,2.698
 6 ,340,140 ,188 ,1.0 ,2.690
 6 ,340,150 ,229 ,1.0 ,2.694
 6 ,340,160 ,194 ,1.0 ,2.690
 6 ,160,170 , 1 ,1.0 ,3.192
 6 ,160,180 ,213 ,1.0 ,2.682
 6 , 60,260 ,199 ,1.0 ,2.690
 6 ,280,290 ,194 ,1.0 ,2.665
 6 ,300,310 ,207 ,1.0 ,2.676
 7 , 10,20 ,182 ,2.5 ,2.745
 7 , 20,30 ,208 ,2.4 ,2.741
 7 , 30,40 ,205 ,2.4 ,2.741
 7 , 40,50 ,214 ,1.0 ,2.716
 7 , 50,60 ,206 ,1.0 ,2.706
 7 , 60,70 ,218 ,1.0 ,2.698
 7 , 70,270 ,169 ,1.0 ,2.692
 7 ,270,280 ,194 ,1.0 ,2.686
 7 ,280,300 ,194 ,1.0 ,2.679
 7 ,300,320 ,198 ,1.0 ,2.673
 7 , 30,350 ,215 ,1.0 ,2.731
 7 ,350,80 ,189 ,1.0 ,2.716
 7 ,350,90 ,203 ,1.0 ,2.715
 7 ,350,100 ,170 ,1.0 ,2.717
 7 , 40,130 ,185 ,1.0 ,2.718
 7 , 50,190 ,213 ,1.0 ,2.705
 7 ,190,200 , 1 ,1.0 ,2.675
 7 ,190,210 ,220 ,1.0 ,2.696
 7 ,210,220 ,192 ,1.0 ,2.689
 7 ,210,230 ,207 ,1.0 ,2.689
